event_id,threshold_abs_z,entry_time,side,entry_z,entry_abs_z,settled,settle_time,exit_time,exit_reason,bars_to_settle,bars_to_exit,approx_trading_days_to_exit,entry_nifty_close,entry_sensex_close,exit_nifty_close,exit_sensex_close,max_loss_abs_rupees,max_loss_rupees,max_loss_time,max_profit_rupees,max_profit_time,max_abs_z_during_wait,max_abs_z_time,directional_worst_z_during_wait,directional_worst_z_time,gross_exit_pnl_rupees,cost_rupees,net_exit_pnl_rupees,nifty_points_at_exit,sensex_points_at_exit,nifty_qty,sensex_qty,entry_date,entry_trading_date,exit_z,exit_abs_z,calendar_minutes_to_exit
1,5.0,2022-05-31 09:15:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.52423006819397,5.52423006819397,True,2022-05-31 10:49:00,2022-05-31 10:49:00,SETTLED,94,94,0.25066666666666665,16568.4,55566.68,16635.75,55790.64,3934.0000000003783,-3934.0000000003783,2022-05-31 09:27:00,507.2500000003856,2022-05-31 10:49:00,6.3089736000530765,2022-05-31 09:16:00,-6.3089736000530765,2022-05-31 09:16:00,507.2500000003856,0.0,507.2500000003856,67.34999999999854,223.95999999999913,325,100,2022-05-31,2022-05-31,-0.4516462710832915,0.4516462710832915,94.0
2,5.0,2022-06-03 09:16:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,5.60376286909077,5.60376286909077,True,2022-06-03 12:24:00,2022-06-03 12:24:00,SETTLED,188,188,0.5013333333333333,16780.0,56359.02,16733.65,56274.93,9607.750000000851,-9607.750000000851,2022-06-03 11:43:00,0.0,2022-06-03 09:16:00,5.60376286909077,2022-06-03 09:16:00,5.60376286909077,2022-06-03 09:16:00,-6654.749999999876,0.0,-6654.749999999876,-46.349999999998545,-84.08999999999651,325,100,2022-06-03,2022-06-03,0.37863610502743833,0.37863610502743833,188.0
3,5.0,2022-06-07 09:15:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-8.277221717101758,8.277221717101758,True,2022-06-07 12:21:00,2022-06-07 12:21:00,SETTLED,186,186,0.496,16417.3,55136.8,16403.05,55090.72,3264.2500000002656,-3264.2500000002656,2022-06-07 11:32:00,3098.9999999997053,2022-06-07 09:25:00,8.277221717101758,2022-06-07 09:15:00,-8.277221717101758,2022-06-07 09:15:00,23.249999999825377,0.0,23.249999999825377,-14.25,-46.080000000001746,325,100,2022-06-07,2022-06-07,-0.28564228447055506,0.28564228447055506,186.0
4,5.0,2022-06-08 09:42:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.180278376888117,5.180278376888117,True,2022-06-08 10:36:00,2022-06-08 10:36:00,SETTLED,54,54,0.144,16366.5,54911.38,16443.5,55180.46,1141.7499999999109,-1141.7499999999109,2022-06-08 10:07:00,3496.750000000202,2022-06-08 09:45:00,5.180278376888117,2022-06-08 09:42:00,-5.180278376888117,2022-06-08 09:42:00,1883.0000000001746,0.0,1883.0000000001746,77.0,269.08000000000175,325,100,2022-06-08,2022-06-08,-0.39925383958734356,0.39925383958734356,54.0
5,5.0,2022-06-13 09:15:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-8.331744225683071,8.331744225683071,True,2022-06-13 11:44:00,2022-06-13 11:44:00,SETTLED,149,149,0.3973333333333333,15834.5,53010.95,15784.4,52874.18,1743.9999999995962,-1743.9999999995962,2022-06-13 10:05:00,2605.5000000004384,2022-06-13 11:44:00,8.331744225683071,2022-06-13 09:15:00,-8.331744225683071,2022-06-13 09:15:00,2605.5000000004384,0.0,2605.5000000004384,-50.100000000000364,-136.7699999999968,325,100,2022-06-13,2022-06-13,-0.45221639797804825,0.45221639797804825,149.0
6,5.0,2022-06-27 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,5.856119949522087,5.856119949522087,True,2022-06-27 10:26:00,2022-06-27 10:26:00,SETTLED,71,71,0.18933333333333333,15874.8,53316.98,15883.75,53314.41,1896.9999999992979,-1896.9999999992979,2022-06-27 09:22:00,3165.7500000002074,2022-06-27 10:26:00,5.856119949522087,2022-06-27 09:15:00,5.856119949522087,2022-06-27 09:15:00,3165.7500000002074,0.0,3165.7500000002074,8.950000000000728,-2.569999999999709,325,100,2022-06-27,2022-06-27,0.49970692851674503,0.49970692851674503,71.0
7,5.0,2022-07-07 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,5.4433335901573745,5.4433335901573745,True,2022-07-07 09:53:00,2022-07-07 09:53:00,SETTLED,38,38,0.10133333333333333,16124.35,54215.63,16070.95,54000.44,0.0,0.0,2022-07-07 09:15:00,4163.999999999622,2022-07-07 09:53:00,5.4433335901573745,2022-07-07 09:15:00,5.4433335901573745,2022-07-07 09:15:00,4163.999999999622,0.0,4163.999999999622,-53.399999999999636,-215.18999999999505,325,100,2022-07-07,2022-07-07,0.14316272644791933,0.14316272644791933,38.0
8,5.0,2022-07-11 09:22:00,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,-5.142505624819975,5.142505624819975,True,2022-07-11 11:46:00,2022-07-11 11:46:00,SETTLED,144,144,0.384,16142.85,54187.48,16128.9,54148.29,2300.250000000233,-2300.250000000233,2022-07-11 10:54:00,1747.250000000031,2022-07-11 09:24:00,5.142505624819975,2022-07-11 09:22:00,-5.142505624819975,2022-07-11 09:22:00,614.7500000000036,0.0,614.7500000000036,-13.950000000000728,-39.19000000000233,325,100,2022-07-11,2022-07-11,-0.34801241492446344,0.34801241492446344,144.0
9,5.0,2022-07-18 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,6.473999925850569,6.473999925850569,True,2022-07-18 11:58:00,2022-07-18 11:58:00,SETTLED,163,163,0.43466666666666665,16190.5,54228.6,16196.85,54234.88,1139.0000000002601,-1139.0000000002601,2022-07-18 10:33:00,2659.5000000001164,2022-07-18 09:26:00,6.473999925850569,2022-07-18 09:15:00,6.473999925850569,2022-07-18 09:15:00,1435.7500000002346,0.0,1435.7500000002346,6.350000000000364,6.279999999998836,325,100,2022-07-18,2022-07-18,0.30703030122563546,0.30703030122563546,163.0
10,5.0,2022-07-20 09:15:00,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,6.274846051734772,6.274846051734772,True,2022-07-20 13:15:00,2022-07-20 13:15:00,SETTLED,240,240,0.64,16505.0,55321.65,16537.35,55458.07,4595.249999999032,-4595.249999999032,2022-07-20 13:05:00,1235.5000000002292,2022-07-20 09:23:00,6.3228538135012755,2022-07-20 09:16:00,6.3228538135012755,2022-07-20 09:16:00,-3128.2500000002983,0.0,-3128.2500000002983,32.349999999998545,136.41999999999825,325,100,2022-07-20,2022-07-20,0.37359652437873225,0.37359652437873225,240.0
