watch_event_id,threshold_abs_z,watch_time,watch_date,watch_trading_date,watch_z,watch_abs_z,watch_side_if_entered,entered,skip_reason,entry_time,entry_z,entry_abs_z,entry_delay_bars,extreme_time_before_entry,extreme_z_before_entry,extreme_abs_z_before_entry,scan_end_time,reversal_confirm_bars_required,reversal_delta_z_required,enable_entry_time_filter,entry_start_time,last_entry_time
1,3.0,2022-05-31 09:15:00,2022-05-31,2022-05-31,-4.815161069157636,4.815161069157636,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-05-31 09:16:00,-5.778051907523487,5.778051907523487,2022-05-31 09:18:00,2,0.25,True,09:30,15:15
2,3.0,2022-05-31 09:42:00,2022-05-31,2022-05-31,-3.039173694078139,3.039173694078139,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-05-31 09:44:00,-2.638918747801112,2.638918747801112,2.0,2022-05-31 09:42:00,-3.039173694078139,3.039173694078139,2022-05-31 09:44:00,2,0.25,True,09:30,15:15
3,3.0,2022-05-31 15:21:00,2022-05-31,2022-05-31,-3.018527869085559,3.018527869085559,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-05-31 15:27:00,-3.8347864457790544,3.8347864457790544,2022-06-01 09:18:00,2,0.25,True,09:30,15:15
4,3.0,2022-06-03 09:15:00,2022-06-03,2022-06-03,3.2412855042725153,3.2412855042725153,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-06-03 09:19:00,4.290949121759983,4.290949121759983,2022-06-03 09:22:00,2,0.25,True,09:30,15:15
5,3.0,2022-06-03 09:55:00,2022-06-03,2022-06-03,3.1544163746934006,3.1544163746934006,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,True,,2022-06-03 09:58:00,2.707565455020278,2.707565455020278,3.0,2022-06-03 09:55:00,3.1544163746934006,3.1544163746934006,2022-06-03 09:58:00,2,0.25,True,09:30,15:15
6,3.0,2022-06-06 09:24:00,2022-06-06,2022-06-06,-3.214902299038182,3.214902299038182,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-06-06 09:32:00,-3.5838945446750983,3.5838945446750983,8.0,2022-06-06 09:28:00,-3.947847437593268,3.947847437593268,2022-06-06 09:32:00,2,0.25,True,09:30,15:15
7,3.0,2022-06-07 09:15:00,2022-06-07,2022-06-07,-7.522480688775601,7.522480688775601,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,False,NO_ENTRY_TIME_FILTER,,,,,2022-06-07 09:15:00,-7.522480688775601,7.522480688775601,2022-06-07 09:17:00,2,0.25,True,09:30,15:15
8,3.0,2022-06-07 09:53:00,2022-06-07,2022-06-07,-3.1875357554406647,3.1875357554406647,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-06-07 09:56:00,-2.642503928772471,2.642503928772471,3.0,2022-06-07 09:54:00,-3.231242208317902,3.231242208317902,2022-06-07 09:56:00,2,0.25,True,09:30,15:15
9,3.0,2022-06-08 09:39:00,2022-06-08,2022-06-08,-3.1091661195367766,3.1091661195367766,SENSEX_CHEAP_LONG_SENSEX_SHORT_NIFTY,True,,2022-06-08 09:44:00,-2.068919712721518,2.068919712721518,5.0,2022-06-08 09:42:00,-4.556663878821587,4.556663878821587,2022-06-08 09:44:00,2,0.25,True,09:30,15:15
10,3.0,2022-06-09 15:28:00,2022-06-09,2022-06-09,3.0816989348821235,3.0816989348821235,SENSEX_RICH_SHORT_SENSEX_LONG_NIFTY,False,NO_ENTRY_SIGN_FLIP_BEFORE_REVERSAL,,,,,2022-06-09 15:28:00,3.0816989348821235,3.0816989348821235,2022-06-10 09:15:00,2,0.25,True,09:30,15:15
